38000|1|39|4|M. ģim.|Purvciems Purvciema 48
33500|1|30|4|Hrušč.|Teika Raunas 22A
268000|3|136|4|P. kara|centrs Skolas 22
33500|2|45|4|LT proj.|Ķengarags Maskavas 273 K5
83000|2|43|1|P. kara|centrs Kazarmu 4
83000|3|53|1|Hrušč.|centrs Valdemāra 143 k 4
64500|2|51|8|Specpr.|Jugla Silciema 2
189000|5|115|1|P. kara|centrs Skolas 36a
73000|2|52|2|P. kara|Sarkandaugava Sīmaņa 9a
48000|2|48|8|Čehu pr.|Ķengarags Maskavas 281
50890|2|60|7|119.|Ziepniekkalns Ozolciema 18
17000|1|21|1|P. kara|Sarkandaugava Sarkandaugavas 21
41000|1|36|1|Specpr.|Purvciems Braslas 49a/1
51900|2|48|1|Hrušč.|Maskavas priekšpilsēta Lubānas 60
205000|4|97|5|Jaun.|Teika Tālivalža 21a
21700|1|30|4|Hrušč.|Sarkandaugava Tilta 11
48000|3|55|4|Hrušč.|Bolderāja Lielupes 1/6
95000|3|95|1|P. kara|centrs Pētersalas 7
49500|2|51|1|602.|Pļavnieki Rudens 9
108300|2|54|1|Jaun.|Mežciems Kaivas 50/3
24500|1|30|3|Hrušč.|Iļģuciems Saulgožu 13
55000|2|49|4|Specpr.|Purvciems Ūnijas 71
60000|3|59|5|Hrušč.|Ziepniekkalns Valdeķu 1
36000|2|43|4|Hrušč.|Mangaļi Mores 5
82500|3|57|6|467.|Purvciems Ilūkstes 107
52000|2|49|3|LT proj.|Purvciems Dudajeva g. 9
41000|2|49|2|Hrušč.|Ķengarags Maskavas 260
30000|1|36|3|Specpr.|Šķirotava Malēju 4A
54000|2|57|1|P. kara|centrs Stabu 84
35000|2|41|3|Hrušč.|Ķengarags Aglonas 29
38000|1|35|5|602.|Vecmīlgrāvis Ziemeļblāzmas 42
32000|1|27|4|LT proj.|Mežciems Celmu 10
62000|3|62|4|602.|Imanta Dubultu 18
63900|3|65|1|103.|Bolderāja Gaigalas 23a
5000|1|30|3|Priv. m.|Āgenskalns Talsu 30A
220000|3|80|4|P. kara|Vecrīga Kaļķu 2
98500|3|75|4|119.|Purvciems Deglava 53
85500|3|61|3|P. kara|centrs Matīsa 111
65300|2|42|2|Hrušč.|centrs Tomsona 42
34000|1|38|2|Jaun.|centrs Klusā 20
155000|3|80|4|Jaun.|Šampēteris-Pleskodāle Kalnciema 98
36500|1|27|2|P. kara|Mangaļi Ezera 23
